차수,날짜,종목명,수량,매입단가,매매구분,매도단가,평가손익,수익률,IDX,코드
1차,2026.01.03, 엔비디아,1,190.43,매수, , , ,1,NVDA
1차,2026.01.05, 엔비디아,1,190.43,매도,191.0500 ,0.62 ,0.33 ,2,NVDA
1차,2026.01.05, *NVDL,3,90.85,매수, , , ,3,NVDL
1차,2026.01.05, *NVDL,3,90.85,매도,94.1700 ,9.96 ,3.65 ,4,NVDL
1차,2026.01.05, *SOXL,6,49.6999,매수, , , ,5,SOXL
1차,2026.01.05, *SOXL,6,49.6999,매도,51.2000 ,9.00 ,3.02 ,6,SOXL
1차,2026.01.05, *TSLL,16,18.73,매수, , , ,7,TSLL
1차,2026.01.05, *TSLL,16,18.73,매도,19.3000 ,9.12 ,3.04 ,8,TSLL
1차,2026.01.03, 테슬라,1,446.29,매수, , , ,9,TSLA
1차,2026.01.05, 테슬라,1,446.29,매도,452.6200 ,6.33 ,1.42 ,10,TSLA
4차,2026.01.06, *MUU,2,119.04,매수, , , ,11,MUU
4차,2026.01.06, *MUU,2,119.04,매도,122.8384 ,7.60 ,3.19 ,12,MUU
2차,2026.01.06, *SOXL,6,49.3199,매수, , , ,13,SOXL
2차,2026.01.06, *SOXL,6,49.3199,매도,50.8201 ,9.00 ,3.04 ,14,SOXL
2차,2026.01.06, *SOXL,6,49.4099,매수, , , ,15,SOXL
2차,2026.01.06, *SOXL,6,49.4099,매도,51.3250 ,11.49 ,3.88 ,16,SOXL
4차,2026.01.06, *MUU,3,119.14,매수, , , ,17,MUU
4차,2026.01.06, *MUU,3,119.14,매도,126.3500 ,21.63 ,6.05 ,18,MUU
3차,2026.01.06, *NVDL,3,88.04,매수, , , ,19,NVDL
3차,2026.01.06, *NVDL,3,88.04,매도,91.7750 ,11.21 ,4.24 ,20,NVDL
3차,2026.01.05, *MUU,2,122.9334,매수, , , ,21,MUU
3차,2026.01.06, *MUU,2,122.9334,매도,127.7950 ,9.72 ,3.95 ,22,MUU
1차,2026.01.05, *GGLL,3,98.6,매수, , , ,23,GGLL
1차,2026.01.06, *GGLL,3,98.6,매도,101.5700 ,8.91 ,3.01 ,24,GGLL
